Book ID,Title,Sort Character,Primary Author,Primary Author Role,Secondary Author,Secondary Author Role,Publication,Date,Review,Rating,Comment,Private Comment,Summary,Media,Physical Description,Weight,Height,Thickness,Length,Dimensions,Page Count,LCCN,Acquired,Date Started,Date Read,Barcode,BCID,Tags,Collections,Languages,Original Languages,LC Classification,ISBN,ISBNs,Subjects,Dewey Decimal,Dewey Wording,Other Call Number,Copies,Source,Entry Date,From Where,OCLC,Work id,Lending Patron,Lending Status,Lending Start,Lending End
67202983,Introductory Quantum Mechanics,1,"Liboff, Richard L.",,,,"Addison-Wesley (1991), Edition: 2nd, Hardcover, 800 pages",1991,,,,,Introductory Quantum Mechanics by Richard L. Liboff (1991),Hardcover,800 p.; 9.5 inches,2.55 pounds,9.5 inches,1.5 inches,6.75 inches,9.5 x 6.75 x 1.5 inches,800 ,,,,,,,,Your library,,English,QC174.12 .L52,[0201547155],"[0201547155, 9780201547153]",Quantum theory|quantum theory,530.12,Mathematics and Science > Physics > Physics > Quantum Mechanics > Theoretical Physics,,1,amazon.com,2010-11-27,,,3369182,,,,
67202989,Lasers (Wiley Series in Pure and Applied Optics),1,"Milonni, Peter W.",,,,"Wiley-Interscience (1988), Edition: 1, Hardcover, 768 pages",1988,,,,,Lasers (Wiley Series in Pure and Applied Optics) by Peter W. Milonni (1988),Hardcover,768 p.; 9.3 inches,2.75 pounds,9.3 inches,1.7 inches,6.5 inches,9.3 x 6.5 x 1.7 inches,768 ,,,,,,,,Your library,,,QC688 .M55,[0471627313],"[0471627313, 9780471627319]",,621.366,Electric engineering > Engineering > Mechanical Engineering and Machinery > Technology,,1,amazon.com,2010-11-27,,,357802,,,,
67202995,"Quantum Mechanics, 2nd Edition",1,"Merzbacher, Eugene",,,,"John Wiley & Sons (1969), Edition: 2, Hardcover, 640 pages",1969,,,,,"Quantum Mechanics, 2nd Edition by Eugene Merzbacher (1969)",Hardcover,640 p.; 9.3 inches,2.19 pounds,9.3 inches,1.41 inches,6.35 inches,9.3 x 6.35 x 1.41 inches,640 ,,,,,,,,Your library,,English,QC174.1 .M36,[0471596701],"[0471596701, 9780471596707]",Quantum theory|quantum theory,530.12,Mathematics and Science > Physics > Physics > Quantum Mechanics > Theoretical Physics,,1,amazon.com,2010-11-27,,,115149,,,,
67203030,Optimal Signal Processing,1,"Orfanidis, Sophocles J.",,,,"Free Press (1985), Hardcover, 288 pages",1985,,,,,Optimal Signal Processing by Sophocles J. Orfanidis (1985),Hardcover,288 p.; 9.4 inches,1.4 pounds,9.4 inches,1.4 inches,6.3 inches,9.4 x 6.3 x 1.4 inches,288 ,,,,,,,,Your library,English,,TK5102.5 .O246,[0029498600],"[0029498600, 9780029498606]",,621.38,"Electric engineering > Electronics, Communications. > Engineering > Mechanical Engineering and Machinery > Technology",,1,amazon.com,2010-11-27,,,10686750,,,,
67203042,Classical Electrodynamics Third Edition,1,"Jackson, John David",,,,"Wiley (1998), Edition: 3, Hardcover, 808 pages",1998,,,,,Classical Electrodynamics Third Edition by John David Jackson (1998),Hardcover,808 p.; 10 inches,2.82 pounds,10 inches,1.18 inches,7.09 inches,10 x 7.09 x 1.18 inches,808 ,,,,,,,,Your library,English,English,QC631 .J3,[047130932X],"[047130932X, 9780471309321]",Electrodynamics,537.6,Electricity > Electrodynamics > Mathematics and Science > Physics,,1,amazon.com,2010-11-27,,,136582,,,,
67203054,Numerical Recipes in C: The Art of Scientific Computing,1,"Press, William H.",,"Flannery, Brian P.|Teukolsky, Saul A.|Vetterling, William T.",||,"Cambridge University Press (1992), Edition: 2, Hardcover, 994 pages",1992,,,,,Numerical Recipes in C: The Art of Scientific Computing by William H. Press (1992),Hardcover,994 p.; 10 inches,3.75 pounds,10 inches,2 inches,7.2 inches,10 x 7.2 x 2 inches,994 ,,,,,,,,Your library,English,English,QA76.73 .C15,[0521431085],"[0521431085, 9780521431088]",C (Computer program language)|C (computer program language)|C++ (Computer program language)|Numerical analysis|Numerical analysis > Computer programs|Science > Mathematics > Computer programs,519.4028553,"-- > Applied Mathematics, Probabilities > Mathematics > Mathematics and Science",,1,amazon.com,2010-11-27,,,68845,,,,
67203090,Principles of Modern Physics,1,"Leighton, Robert B.",,,,"McGraw-Hill Inc.,US (1959), Edition: 1st, Hardcover, 795 pages",1959,,,,,Principles of Modern Physics by Robert B. Leighton (1959),Hardcover,795 p.; 8.4 inches,2.3 pounds,8.4 inches,1.4 inches,5.9 inches,8.4 x 5.9 x 1.4 inches,795 ,,,,,,,,Your library,English,English,QC173 .L48,[007037130X],"[007037130X, 9780070371309]",Matter > Properties|Nuclear physics|Relativity (Physics)|nuclear physics,530.1,Mathematics and Science > Physics > Physics > Theoretical Physics,,1,amazon.com,2010-11-27,,,1496032,,,,
67203098,Calculus,1,"Berkey, Dennis D.",,,,"Thomson Learning (1988), Edition: 2nd, Hardcover, 1152 pages",1988,,,,,Calculus by Dennis D. Berkey (1988),Hardcover,1152 p.; 10.1 inches,4.45 pounds,10.1 inches,1.8 inches,8 inches,10.1 x 8 x 1.8 inches,1152 ,,,,,,,,Your library,,English,QA303 .B48,[0030088992],"[0030088992, 9780030088995]",Calculus,515,Analysis > Mathematics > Mathematics and Science,,1,amazon.com,2010-11-27,,,674007,,,,
67203105,Fundamentals of Statistical and Thermal Physics (McGraw-Hill Series in Fundamentals of Physics),1,"Reif, Frederick",,,,"McGraw-Hill Science/Engineering/Math (1965), Edition: 1, Hardcover, 651 pages",1965,,,,,Fundamentals of Statistical and Thermal Physics (McGraw-Hill Series in Fundamentals of Physics) by Frederick Reif (1965),Hardcover,651 p.; 9.2 inches,2.5 pounds,9.2 inches,1.6 inches,6.4 inches,9.2 x 6.4 x 1.6 inches,651 ,,,,,,,,Your library,English,English,QC175 .R43,[0070518009],"[0070518009, 9780070518001]",Statistical mechanics|Statistical thermodynamics,530.13,Mathematics and Science > Physics > Physics > Statistical Physics > Theoretical Physics,,1,amazon.com,2010-11-27,,,81632,,,,
67203109,Modern Physics from a to Z,1,"Rohlf, James William",,,,"Wiley (1994), Edition: 1st, Hardcover, 664 pages",1994,,,,,Modern Physics from a to Z by James William Rohlf (1994),Hardcover,664 p.; 10 inches,3.13 pounds,10 inches,1.1 inches,7.87 inches,10 x 7.87 x 1.1 inches,664 ,,,,,,,,Your library,,,QC21.2 .R62,[0471572705],"[0471572705, 9780471572701]",,539,Mathematics and Science > Nuclear physics; Matter > Physics,,1,amazon.com,2010-11-27,,,1124024,,,,
67203197,"Volume 2, Physics, 4th Edition",1,"Halliday, David",,,,"John Wiley & Sons (1992), Edition: 4, Hardcover, 480 pages",1992,,,,,"Volume 2, Physics, 4th Edition by David Halliday (1992)",Hardcover,480 p.; 11.1 inches,2.8 pounds,11.1 inches,0.9 inches,8.7 inches,11.1 x 8.7 x 0.9 inches,480 ,,,,,,,,Your library,,English,QC21 .R4,[0471804576],"[0471804576, 9780471804574]",Physics|physics,530,Mathematics and Science > Physics > Physics,,1,amazon.com,2010-11-27,,,354708,,,,
67203200,"Physics, 4th Edition, Vol.1",1,"Resnick, Robert",,,,"John Wiley & Sons (1991), Edition: 4, Hardcover, 656 pages",1991,,,,,"Physics, 4th Edition, Vol.1 by Robert Resnick (1991)",Hardcover,656 p.; 11 inches,3.7 pounds,11 inches,1.1 inches,8.6 inches,11 x 8.6 x 1.1 inches,656 ,,,,,,,,Your library,,English,QC21.2 .H355,[0471804584],"[0471804584, 9780471804581]",,530,Mathematics and Science > Physics > Physics,,1,amazon.com,2010-11-27,,,9794522,,,,
67203210,Games and Information: An Introduction to Game Theory Third Edition,1,"Rasmusen, Eric",,,,"Wiley-Blackwell (2001), Edition: 3rd, Hardcover, 445 pages",2001,,,,,Games and Information: An Introduction to Game Theory Third Edition by Eric Rasmusen (2001),Hardcover,445 p.; 9.96 inches,2.3 pounds,9.96 inches,1.22 inches,6.95 inches,9.96 x 6.95 x 1.22 inches,445 ,,,,,,,,Your library,English,English,QA269 .R37,[0631210954],"[0631210954, 9780631210955]",Game theory,519.3,"Applied Mathematics, Probabilities > Game Theory > Mathematics > Mathematics and Science",,1,amazon.com,2010-11-27,,,294140,,,,
67203213,Mechanics of Materials (Pws-Kent Series in Engineering),1,"Gere, James M.",,,,"Pws Pub Co (1990), Edition: 3rd, Hardcover, 784 pages",1990,,,,,Mechanics of Materials (Pws-Kent Series in Engineering) by James M. Gere (1990),Hardcover,784 p.; 9.2 inches,3.35 pounds,9.2 inches,1.4 inches,7.8 inches,9.2 x 7.8 x 1.4 inches,784 ,,,,,,,,Your library,,English,TA405 .G44,[0534921744],"[0534921744, 9780534921743]",Strength of materials,620.1123,Engineering > Engineering > Materials Science > Technology,,1,amazon.com,2010-11-27,,,136280,,,,
67203221,Photon-Atom Interactions,1,"Weissbluth, Mitchel",,,,"Academic Press (1989), Edition: 1, Hardcover, 407 pages",1989,,,,,Photon-Atom Interactions by Mitchel Weissbluth (1989),Hardcover,407 p.; 9.06 inches,1.72 pounds,9.06 inches,1.34 inches,6.22 inches,9.06 x 6.22 x 1.34 inches,407 ,,,,,,,,Your library,English,,,[012743660X],"[012743660X, 9780127436609]",,530.12,Mathematics and Science > Physics > Physics > Quantum Mechanics > Theoretical Physics,,1,amazon.com,2010-11-27,,,10686766,,,,
67203225,"Statistical Physics, Third Edition, Part 1: Volume 5 (Course of Theoretical Physics, Volume 5)",1,"Landau, L D",,,,"Butterworth-Heinemann (1980), Edition: 3, Paperback, 544 pages",1980,,,,,"Statistical Physics, Third Edition, Part 1: Volume 5 (Course of Theoretical Physics, Volume 5) by L D Landau (1980)",Paperback,544 p.; 9.53 inches,2.78 pounds,9.53 inches,1.42 inches,6.61 inches,9.53 x 6.61 x 1.42 inches,544 ,,,,,,,,Your library,,,QC174.8 .L3613,[0750633727],"[0750633727, 9780750633727]",Statistical physics,530,Mathematics and Science > Physics > Physics,,1,amazon.com,2010-11-27,,,115153,,,,
67203230,"Statistical Physics, 2nd Edition",1,"Mandl, Franz",,,,"Wiley (1988), Edition: 2, Paperback, 402 pages",1988,,,,,"Statistical Physics, 2nd Edition by Franz Mandl (1988)",Paperback,402 p.; 9.45 inches,1.5 pounds,9.45 inches,0.94 inches,6.61 inches,9.45 x 6.61 x 0.94 inches,402 ,,,,,,,,Your library,,English,QC174.8 .M27,[0471915335],"[0471915335, 9780471915331]",,530.13,Mathematics and Science > Physics > Physics > Statistical Physics > Theoretical Physics,,1,amazon.com,2010-11-27,,,1504711,,,,
67203235,"Electrodynamics of Continuous Media, Second Edition: Volume 8 (Course of Theoretical Physics)",1,"Landau, L D",,,,"Butterworth-Heinemann (1984), Edition: 2, Paperback, 460 pages",1984,,,,,"Electrodynamics of Continuous Media, Second Edition: Volume 8 (Course of Theoretical Physics) by L D Landau (1984)",Paperback,460 p.; 10 inches,2.2 pounds,10 inches,1.3 inches,6.9 inches,10 x 6.9 x 1.3 inches,460 ,,,,,,,,Your library,,,QC518 .L313,[0750626348],"[0750626348, 9780750626347]",Continuum mechanics|Electrodynamics|Electromagnetic waves,530,Mathematics and Science > Physics > Physics,,1,amazon.com,2010-11-27,,,2009165,,,,
67203244,Engineering Mechanics: Statics : Si English Version,1,"Meriam, J. L.",,,,"John Wiley & Sons Inc (1992), Edition: 3rd, Hardcover, 544 pages",1992,,,,,Engineering Mechanics: Statics : Si English Version by J. L. Meriam (1992),Hardcover,544 p.; 9.2 inches,2.5 pounds,9.2 inches,1.3 inches,7.7 inches,9.2 x 7.7 x 1.3 inches,544 ,,,,,,,,Your library,,English,TA350 .M458,[0471902942],"[0471902942, 9780471902942]","Mechanics, Applied|Statics",620.1,Engineering > Engineering > Materials Science > Technology,,1,amazon.com,2010-11-27,,,123971,,,,
67203252,Molecular Spectra and Molecular Structure. Volume I: Spectra of Diatomic Molecules. Second Edition,1,"Herzberg, Gerhard",,,,"D. Van Nostrand (1950), Edition: 2nd, Hardcover, 658 pages",1950,,,,,Molecular Spectra and Molecular Structure. Volume I: Spectra of Diatomic Molecules. Second Edition by Gerhard Herzberg (1950),Hardcover,658 p.; 9 inches,2.2 pounds,9 inches,1.8 inches,6.3 inches,9 x 6.3 x 1.8 inches,658 ,,,,,,,,Your library,English,,,[0442033850],"[0442033850, 9780442033859]",,535.84,Applications > Mathematics and Science > Optics > Physics > Spectroscopes and spectrum analysis,,1,amazon.com,2010-11-27,,,6661797,,,,
67203263,Introduction To Superconductivity,1,"Tinkham, Michael",,,,"McGraw-Hill Science/Engineering/Math (1995), Edition: 2 Sub, Hardcover, 454 pages",1995,,,,,Introduction To Superconductivity by Michael Tinkham (1995),Hardcover,454 p.; 9.56 inches,1.75 pounds,9.56 inches,0.98 inches,6.62 inches,9.56 x 6.62 x 0.98 inches,454 ,,,,,,,,Your library,English,English,QC611.92 .T56,[0070648786],"[0070648786, 9780070648784]",Superconductivity,537.623,Electricity > Electrodynamics > Mathematics and Science > Physics,,1,amazon.com,2010-11-27,,,115139,,,,
67203266,Analytical Mechanics (Saunders Golden Sunburst Series),1,Fowles,,,,"Houghton Mifflin Harcourt (HMH) (1993), Edition: 5th, Hardcover, 384 pages",1993,,,,,Analytical Mechanics (Saunders Golden Sunburst Series) by Fowles (1993),Hardcover,384 p.; 9.3 inches,1.85 pounds,9.3 inches,1 inch,6.5 inches,9.3 x 6.5 x 1 inches,384 ,,,,,,,,Your library,,English,QA807 .F65,[0030960223],"[0030960223, 9780030960222]","Mechanics, Analytic",531.01515,Mathematics and Science > Mechanics > Physics,,1,amazon.com,2010-11-27,,,378816,,,,
67203269,Statistics for Engineering and the Sciences (4th Edition),1,"Mendenhall, William",,,,"Prentice Hall (1995), Edition: 4, Hardcover, 1008 pages",1995,,,,,Statistics for Engineering and the Sciences (4th Edition) by William Mendenhall (1995),Hardcover,1008 p.; 9.59 inches,4.75 pounds,9.59 inches,2.06 inches,8.57 inches,9.59 x 8.57 x 2.06 inches,1008 ,,,,,,,,Your library,,English,QA276 .M429,[0023805811],"[0023805811, 9780023805813]",,519.5,"Applied Mathematics, Probabilities > Mathematics > Mathematics and Science > Statistical Mathematics",,1,amazon.com,2010-11-27,,,14437475,,,,
67203280,A Random Walk Down Wall Street: The Time-Tested Strategy for Successful Investing (Completely Revised & Updated),3,"Malkiel, Burton G.",,,,"W. W. Norton & Company (2007), Edition: Completely Revised & Updated, Hardcover, 416 pages",2007,,,,,A Random Walk Down Wall Street: The Time-Tested Strategy for Successful Investing (Completely Revised & Updated) by Burton G. Malkiel (2007),Hardcover,416 p.; 9.5 inches,1.63 pounds,9.5 inches,1.49 inches,6.46 inches,9.5 x 6.46 x 1.49 inches,416 ,,,,,,,,Your library,English,English,HG4521 .M284,[0393062457],"[0393062457, 9780393062458]",Investments|Random walks (Mathematics)|Stocks|investments|stocks,332.6,Economics > Finance > Investing > Social Sciences ,,1,amazon.com,2010-11-27,,,7376,,,,
67203285,Atom-Photon Interactions: Basic Processes and Applications,1,"Cohen-Tannoudji, Claude",,"Dupont-Roc, Jacques|Grynberg, Gilbert",|,"Wiley-Interscience (1992), Edition: 1, Hardcover, 680 pages",1992,,,,,Atom-Photon Interactions: Basic Processes and Applications by Claude Cohen-Tannoudji (1992),Hardcover,680 p.; 9.3 inches,2.55 pounds,9.3 inches,1.6 inches,4.4 inches,9.3 x 4.4 x 1.6 inches,680 ,,,,,,,,Your library,English,French,QC794.8 .P4,[0471625566],"[0471625566, 9780471625568]",Photonuclear reactions|Quantum theory|Statistical physics|quantum theory,539.756,Mathematics and Science > Nuclear physics; Matter > Physics > Radioactivity,,1,amazon.com,2010-11-27,,,357467,,,,
67203365,Analysis of Time Series Structure: SSA and Related Techniques,1,"Golyandina, Nina",,,,"Chapman and Hall/CRC (2001), Edition: 1, Hardcover, 320 pages",2001,,,,,Analysis of Time Series Structure: SSA and Related Techniques by Nina Golyandina (2001),Hardcover,320 p.; 9 inches,1.34 pounds,9 inches,0.88 inches,6.4 inches,9 x 6.4 x 0.88 inches,320 ,,,,,,,,Your library,,,,[1584881941],"[1584881941, 9781584881940]",,519.55,"Applied Mathematics, Probabilities > Mathematics > Mathematics and Science > Statistical Mathematics",,1,amazon.com,2010-11-27,,,5164793,,,,
67203368,Sex in Every City: How to Talk Dirty in Every Language,1,"Brook, L.",,,,"Grand Central Publishing (2008), Paperback, 160 pages",2008,,,,,Sex in Every City: How to Talk Dirty in Every Language by L. Brook (2008),Paperback,160 p.; 5 inches,0.27 pounds,5 inches,7.5 inches,0.75 inches,5 x 0.75 x 7.5 inches,160 ,,,,,,,,Your library,,,,[0446581615],"[0446581615, 9780446581615]",,306.77014,"Culture and Institutions > Practices > Sexuality > Social Sciences  > Social Sciences, Sociology, Anthropology",,1,amazon.com,2010-11-27,,,5279464,,,,
67203377,Linear Algebra and Its Applications,1,"Strang, Gilbert",,,,"Harcourth Brace Jovanovich (1988), Edition: 3, Hardcover, 520 pages",1988,,,,,Linear Algebra and Its Applications by Gilbert Strang (1988),Hardcover,520 p.; 9.64 inches,1.87 pounds,9.64 inches,0.95 inches,6.53 inches,9.64 x 6.53 x 0.95 inches,520 ,,,,,,,,Your library,English,English,QA184 .S8,[0155510053],"[0155510053, 9780155510050]","Algebras, Linear|Algebras, Linear > Textbooks",512.5,Algebra > Combinatory analysis > Mathematics > Mathematics and Science,,1,amazon.com,2010-11-27,,,215785,,,,
67203389,Electromagnetic Fields,1,"Wangsness, Roald K.",,,,"John Wiley & Sons Inc (1979), Edition: 2nd, Hardcover, 650 pages",1979,,,,,Electromagnetic Fields by Roald K. Wangsness (1979),Hardcover,650 p.; 10 inches,2.8 pounds,10 inches,1.5 inches,7.5 inches,10 x 7.5 x 1.5 inches,650 ,,,,,,,,Your library,English,English,QC665 .E4 W36,[0471041033],"[0471041033, 9780471041030]",Electromagnetic fields,537,Electricity > Mathematics and Science > Physics,,1,amazon.com,2010-11-27,,,136585,,,,
67203397,"Electricity and Magnetism (Berkeley Physics Course, Vol. 2)",1,"Purcell, Edward M.",,,,"McGraw-Hill Science/Engineering/Math (1984), Edition: 2, Hardcover, 506 pages",1984,,,,,"Electricity and Magnetism (Berkeley Physics Course, Vol. 2) by Edward M. Purcell (1984)",Hardcover,506 p.; 9.45 inches,2.54 pounds,9.45 inches,1.38 inches,8.27 inches,9.45 x 8.27 x 1.38 inches,506 ,,,,,,,,Your library,English,English,QC21.2 .B474,[0070049084],"[0070049084, 9780070049086]",Electricity|Magnetism|electricity,537,Electricity > Mathematics and Science > Physics,,1,amazon.com,2010-11-27,,,84062,,,,
67203403,Beginning Python Visualization: Crafting Visual Transformation Scripts (Books for Professionals by Professionals),1,"Vaingast, Shai",,,,"Apress (2009), Edition: 1, Paperback, 384 pages",2009,,,,,Beginning Python Visualization: Crafting Visual Transformation Scripts (Books for Professionals by Professionals) by Shai Vaingast (2009),Paperback,384 p.; 9.2 inches,1.25 pounds,9.2 inches,1.2 inches,7 inches,9.2 x 7 x 1.2 inches,384 ,,,,,,,,Your library,,English,QA76.73 .P98,[1430218436],"[1430218436, 9781430218432]",,005.133,Computer Software > Computing And Information > General Programming Languages > Information > Languages > Programming,,1,amazon.com,2010-11-27,,,8033055,,,,
67203416,Quantum mechanics. Volume I,1,"Cohen-Tannoudji, Claude",,"Diu, Bernard|Laloe, Franck",|,"Wiley (1977), Edition: 1st, Paperback, 898 pages",1977,,,,,Quantum mechanics. Volume I by Claude Cohen-Tannoudji (1977),Paperback,898 p.; 9.3 inches,3.7 pounds,9.3 inches,1.6 inches,6.7 inches,9.3 x 6.7 x 1.6 inches,898 ,,,,,,,,Your library,English,,QC174.12 .C63,[0471164321],"[0471164321, 9780471164326]",Quantum theory,530.12,Mathematics and Science > Physics > Physics > Quantum Mechanics > Theoretical Physics,,1,amazon.com,2010-11-27,,,1124067,,,,
67203422,"Quantum Mechanics, Vol. 2",1,"Cohen-Tannoudji, Claude",,"Diu, Bernard|Laloe, Frank",|,"Wiley (1978), Paperback, 626 pages",1978,,,,,"Quantum Mechanics, Vol. 2 by Claude Cohen-Tannoudji (1978)",Paperback,626 p.; 9.48 inches,2.68 pounds,9.48 inches,1.36 inches,6.77 inches,9.48 x 6.77 x 1.36 inches,626 ,,,,,,,,Your library,English,French,,[0471164356],"[0471164356, 9780471164357]",,530,Mathematics and Science > Physics > Physics,,1,amazon.com,2010-11-27,,,161951,,,,
67203436,"Quantum Mechanics Non-Relativistic Theory, Third Edition: Volume 3 (Course of Theoretical Physics, Vol 3) (Vol. 3)",1,"Landau, L D",,"Lifshitz, E.M.",,"Butterworth-Heinemann (1981), Edition: 3, Paperback, 689 pages",1981,,,,,"Quantum Mechanics Non-Relativistic Theory, Third Edition: Volume 3 (Course of Theoretical Physics, Vol 3) (Vol. 3) by L D Landau (1981)",Paperback,689 p.; 9.4 inches,1.5 pounds,9.4 inches,1 inch,5.9 inches,9.4 x 5.9 x 1 inches,689 ,,,,,,,,Your library,English,,QC174.12 .L3513,[0080291406],"[0080291406, 9780080291406]",Nonrelativistic quantum mechanics,530,Mathematics and Science > Physics > Physics,,1,amazon.com,2010-11-27,,,45966,,,,
